anio,cat_inac,cat_ocup,ch03,ch04,ch06,ch07,ch08,ch12,ch13,ch14,codusu,estado,ipcf,itf,miembros_hogar,nivel_ed,nro_hogar,pondera,pp03d,pp04a,pp04c,pp10a,pp3e_tot,pp3e_tot_missing,pp3f_tot,pp3f_tot_missing,lp_pc,pobre
2005,0.0,3.0,3.0,2.0,34.0,5.0,1.0,7.0,2.0,2.0,128594,1.0,710.0,2130.0,3.0,5.0,1.0,297.0,0.0,1.0,11.0,0.0,30.0,0,0.0,0,205.07,0
2005,0.0,1.0,1.0,1.0,56.0,2.0,2.0,2.0,1.0,,128666,1.0,750.0,3000.0,4.0,2.0,1.0,346.0,0.0,2.0,2.0,0.0,112.0,0,0.0,0,205.07,0
2005,4.0,0.0,2.0,2.0,46.0,2.0,2.0,4.0,1.0,,128666,3.0,750.0,3000.0,4.0,4.0,1.0,346.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,1.0,21.0,5.0,2.0,7.0,2.0,3.0,128666,3.0,750.0,3000.0,4.0,5.0,1.0,346.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,2.0,22.0,5.0,2.0,7.0,2.0,3.0,128666,3.0,750.0,3000.0,4.0,5.0,1.0,346.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,46.0,1.0,4.0,2.0,1.0,,128925,1.0,112.5,450.0,4.0,2.0,1.0,512.0,0.0,2.0,2.0,0.0,16.0,0,0.0,0,205.07,1
2005,0.0,3.0,2.0,2.0,33.0,1.0,4.0,2.0,1.0,,128925,1.0,112.5,450.0,4.0,2.0,1.0,512.0,2.0,2.0,0.0,0.0,12.0,0,8.0,0,205.07,1
2005,3.0,0.0,3.0,2.0,12.0,5.0,4.0,3.0,2.0,6.0,128925,3.0,112.5,450.0,4.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,5.0,0.0,3.0,1.0,5.0,5.0,4.0,1.0,2.0,0.0,128925,4.0,112.5,450.0,4.0,7.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,0.0,3.0,1.0,2.0,52.0,4.0,1.0,7.0,2.0,3.0,129183,1.0,700.0,2100.0,3.0,5.0,1.0,327.0,0.0,1.0,11.0,0.0,0.0,0,0.0,0,205.07,0
2005,3.0,0.0,3.0,2.0,19.0,5.0,1.0,7.0,2.0,1.0,129183,3.0,700.0,2100.0,3.0,5.0,1.0,327.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,1.0,0.0,3.0,1.0,14.0,5.0,1.0,3.0,2.0,8.0,129183,3.0,700.0,2100.0,3.0,3.0,1.0,327.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,1.0,0.0,1.0,1.0,59.0,2.0,1.0,2.0,2.0,,129184,3.0,177.5,710.0,4.0,1.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,0.0,2.0,2.0,2.0,54.0,2.0,1.0,2.0,1.0,,129184,1.0,177.5,710.0,4.0,2.0,1.0,372.0,0.0,2.0,2.0,0.0,56.0,0,0.0,0,205.07,1
