pais,sexo,edad,satisfaccion_vida,situacion_pais,economia_actual,economia_vs12m,economia_12m_futuro,confianza_interpersonal,preferencia_democracia,satisfaccion_democracia,satisfaccion_economia,aprueba_presidente,ideologia_izq_der,justicia_distributiva,nivel_democratico_pais,elecciones_limpias,inmigrantes_ayudan_economia,inmigrantes_compiten_trabajo,inmigrantes_aumentan_crimen,mercado_unico_desarrollo,justicia_no_dura_con_delito,impacto_inmigracion_pais,existe_cambio_climatico,me_importa_medioambiente,obligacion_proteger_medioambiente,importa_impacto_otros,proteger_para_futuras_gen,dispuesto_ahorrar_electricidad,dispuesto_cambiar_alimentacion,derecho_plantas_animales,delincuencia_ult12m,drogadiccion_ult12m,corrupcion_ult12m,corrupcion_0a10,clase_social,suficiencia_ingresos,raza_etnia,educacion_anios,situacion_ocupacional
222.0,Hombre,40.0,Muy satisfecho/a,Progresando,Buena,Mucho mejor,Mucho mejor,Se puede confiar en la mayoría,,Muy satisfecho/a,Poco satisfecho/a,1.0,10.0,Muy justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Disminuyó mucho,,Disminuyó mucho,0.0,,Muy suficiente,,,Asalariado sector privado
222.0,Mujer,,Muy satisfecho/a,Progresando,Regular,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Muy satisfecho/a,Nada satisfecho/a,1.0,5.0,Justa,10.0,Limpias,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,0.0,Alta,Nada suficiente,Blanco/a,1.0,Tareas del hogar
222.0,Mujer,48.0,Muy satisfecho/a,Progresando,Regular,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,1.0,6.0,Justa,,,,De acuerdo,En desacuerdo,En desacuerdo,,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Disminuyó poco,Disminuyó poco,1.0,Media,Muy suficiente,Mestizo/a,2.0,Temporalmente no trabaja
222.0,Hombre,20.0,Muy satisfecho/a,Estancado,Regular,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Poco satisfecho/a,Poco satisfecho/a,1.0,,Injusta,7.0,Limpias,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó poco,3.0,Media,Poco suficiente,Mestizo/a,13.0,Estudiante
222.0,Hombre,29.0,Muy satisfecho/a,Progresando,Buena,Un poco mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Bastante satisfecho/a,1.0,10.0,Muy justa,10.0,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Beneficia,Sí,De acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Disminuyó poco,Disminuyó mucho,Disminuyó poco,10.0,Media,Algo suficiente,Blanco/a,6.0,Independiente/cuenta propia
222.0,Hombre,25.0,Bastante satisfecho/a,Progresando,Regular,Mucho mejor,Un poco mejor,Se puede confiar en la mayoría,Le da lo mismo,Muy satisfecho/a,Muy satisfecho/a,1.0,5.0,Justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó poco,Disminuyó mucho,0.0,Media baja,Muy suficiente,Indígena,10.0,Temporalmente no trabaja
222.0,Hombre,40.0,Muy satisfecho/a,Progresando,Regular,Un poco peor,Igual,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,,Justa,10.0,Limpias,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó poco,4.0,Media,Poco suficiente,,13.0,Independiente/cuenta propia
222.0,Mujer,27.0,Muy satisfecho/a,Estancado,Buena,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Le da lo mismo,Poco satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,6.0,Limpias,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó poco,Igual,6.0,Baja,Nada suficiente,Mestizo/a,13.0,Tareas del hogar
222.0,Hombre,45.0,Poco satisfecho/a,En retroceso,Mala,Igual,Igual,Nunca se es suficientemente cuidadoso,,Muy satisfecho/a,Poco satisfecho/a,1.0,,Injusta,10.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Igual,Disminuyó poco,,Media,Algo suficiente,,2.0,Tareas del hogar
222.0,Mujer,64.0,Muy satisfecho/a,En retroceso,Regular,Mucho peor,Un poco mejor,Nunca se es suficientemente cuidadoso,,Nada satisfecho/a,Nada satisfecho/a,,,,,,En desacuerdo,En desacuerdo,,,,Ni beneficia ni perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,,,,Media baja,Poco suficiente,,1.0,Tareas del hogar
222.0,Hombre,34.0,Muy satisfecho/a,Progresando,Regular,Igual,,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Nada satisfecho/a,Poco satisfecho/a,1.0,,Justa,4.0,Fraudulentas,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Ni beneficia ni perjudica,No,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Disminuyó poco,Disminuyó poco,0.0,Media,Muy suficiente,Blanco/a,13.0,Tareas del hogar
222.0,Mujer,19.0,Muy satisfecho/a,Progresando,Regular,Igual,Igual,Nunca se es suficientemente cuidadoso,Le da lo mismo,Muy satisfecho/a,Nada satisfecho/a,1.0,,Justa,3.0,Fraudulentas,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Igual,Igual,2.0,Media alta,Algo suficiente,,,Tareas del hogar
222.0,Hombre,40.0,Bastante satisfecho/a,Progresando,Buena,Un poco mejor,Mucho mejor,Se puede confiar en la mayoría,Prefiere democracia,Poco satisfecho/a,Bastante satisfecho/a,1.0,5.0,Justa,2.0,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó poco,3.0,Media baja,Poco suficiente,Mestizo/a,7.0,Independiente/cuenta propia
222.0,Mujer,37.0,Muy satisfecho/a,Progresando,Regular,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,5.0,Justa,,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Disminuyó poco,Disminuyó poco,5.0,Baja,Poco suficiente,,7.0,Tareas del hogar
222.0,Hombre,23.0,Muy satisfecho/a,Progresando,Buena,Igual,Un poco mejor,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Bastante satisfecho/a,1.0,4.0,Justa,5.0,Limpias,,,En desacuerdo,De acuerdo,En desacuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó poco,Disminuyó mucho,6.0,Media,Algo suficiente,Blanco/a,10.0,Asalariado sector privado
222.0,Mujer,58.0,Bastante satisfecho/a,Estancado,Regular,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,6.0,Muy injusta,,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,,En desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó poco,Igual,Disminuyó poco,,Media baja,Poco suficiente,Mestizo/a,10.0,Tareas del hogar
222.0,Hombre,68.0,Muy satisfecho/a,Progresando,Buena,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,,Justa,,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó poco,Disminuyó mucho,6.0,Media,Poco suficiente,Mestizo/a,15.0,Jubilado/a o pensionado/a
222.0,Mujer,31.0,Bastante satisfecho/a,Progresando,Regular,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,5.0,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó poco,4.0,Media baja,Algo suficiente,,,Tareas del hogar
222.0,Hombre,69.0,Muy satisfecho/a,Progresando,Mala,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Poco satisfecho/a,1.0,7.0,Injusta,6.0,Limpias,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó poco,Igual,,Baja,Poco suficiente,Indígena,7.0,Jubilado/a o pensionado/a
222.0,Hombre,26.0,Muy satisfecho/a,Estancado,Regular,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Poco satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,5.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Igual,5.0,Media,Algo suficiente,Otra,10.0,Independiente/cuenta propia
222.0,Hombre,19.0,Bastante satisfecho/a,Progresando,Regular,Igual,Mucho mejor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Muy satisfecho/a,Muy satisfecho/a,1.0,5.0,Muy justa,7.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó poco,Disminuyó mucho,2.0,Media,Algo suficiente,Otra,12.0,Independiente/cuenta propia
222.0,Hombre,36.0,Poco satisfecho/a,Estancado,Regular,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,1.0,0.0,Muy injusta,10.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Aumentó mucho,Aumentó mucho,10.0,Alta,Poco suficiente,Negro/a,3.0,Independiente/cuenta propia
222.0,Mujer,27.0,Muy satisfecho/a,Progresando,Buena,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Muy satisfecho/a,1.0,10.0,Muy justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,0.0,Baja,Poco suficiente,Mestizo/a,10.0,Temporalmente no trabaja
222.0,Mujer,64.0,Muy satisfecho/a,Progresando,Buena,Un poco mejor,Un poco mejor,Se puede confiar en la mayoría,,,Muy satisfecho/a,1.0,,Justa,10.0,,Muy de acuerdo,De acuerdo,,,Muy de acuerdo,,Sí,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Disminuyó poco,,10.0,Baja,Algo suficiente,,1.0,Tareas del hogar
222.0,Mujer,26.0,Muy satisfecho/a,Progresando,Muy buena,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Bastante satisfecho/a,1.0,10.0,Justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó poco,,Media,Poco suficiente,Mestizo/a,13.0,Tareas del hogar
222.0,Mujer,24.0,Muy satisfecho/a,Estancado,Regular,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Muy satisfecho/a,Poco satisfecho/a,1.0,5.0,Justa,6.0,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,,En desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,3.0,Media,Nada suficiente,Negro/a,13.0,Tareas del hogar
222.0,Hombre,45.0,Bastante satisfecho/a,Progresando,Buena,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,,Bastante satisfecho/a,Poco satisfecho/a,1.0,10.0,Muy justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,0.0,Baja,Muy suficiente,,12.0,Independiente/cuenta propia
222.0,Mujer,55.0,Muy satisfecho/a,Progresando,Buena,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Bastante satisfecho/a,1.0,,Justa,10.0,Limpias,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,2.0,Media,Muy suficiente,Mestizo/a,13.0,Tareas del hogar
222.0,Mujer,25.0,Bastante satisfecho/a,Progresando,Mala,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,,Limpias,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Igual,,Media,Algo suficiente,Blanco/a,14.0,Temporalmente no trabaja
222.0,Hombre,40.0,Muy satisfecho/a,Progresando,Buena,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Le da lo mismo,Bastante satisfecho/a,Bastante satisfecho/a,1.0,,Justa,,Fraudulentas,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó poco,Disminuyó poco,4.0,Media,Algo suficiente,,11.0,Independiente/cuenta propia
222.0,Mujer,25.0,Muy satisfecho/a,Progresando,Regular,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Poco satisfecho/a,1.0,5.0,Muy justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Beneficia,Sí,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Disminuyó poco,Disminuyó poco,0.0,Alta,Algo suficiente,Indígena,15.0,Asalariado sector privado
222.0,Mujer,59.0,Muy satisfecho/a,Progresando,Buena,Mucho mejor,Mucho mejor,Se puede confiar en la mayoría,Le da lo mismo,Muy satisfecho/a,Nada satisfecho/a,1.0,5.0,Muy justa,10.0,Limpias,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,2.0,Media,Poco suficiente,,1.0,Tareas del hogar
222.0,Hombre,42.0,Muy satisfecho/a,Progresando,Muy buena,Mucho mejor,Mucho mejor,,,Muy satisfecho/a,Muy satisfecho/a,1.0,5.0,Justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,0.0,Media baja,Algo suficiente,Negro/a,12.0,Asalariado sector privado
222.0,Mujer,73.0,Poco satisfecho/a,Estancado,Regular,Un poco peor,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,1.0,0.0,Muy injusta,10.0,Fraudulentas,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Aumentó mucho,Disminuyó mucho,10.0,Media baja,Algo suficiente,Blanco/a,10.0,Tareas del hogar
222.0,Hombre,37.0,Bastante satisfecho/a,Progresando,Regular,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Muy satisfecho/a,Poco satisfecho/a,1.0,5.0,Justa,10.0,Limpias,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,5.0,Baja,Algo suficiente,,10.0,Tareas del hogar
222.0,Mujer,25.0,Muy satisfecho/a,Progresando,Buena,Un poco peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Nada satisfecho/a,1.0,5.0,Muy injusta,10.0,Fraudulentas,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó poco,Disminuyó poco,6.0,Media,Algo suficiente,,13.0,Asalariado sector privado
222.0,Mujer,40.0,Muy satisfecho/a,Progresando,Muy mala,Mucho peor,Un poco mejor,Nunca se es suficientemente cuidadoso,,Nada satisfecho/a,Nada satisfecho/a,1.0,0.0,,10.0,,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó poco,Disminuyó poco,,,Media,Algo suficiente,,,Independiente/cuenta propia
222.0,Hombre,63.0,Bastante satisfecho/a,Progresando,Regular,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Muy satisfecho/a,1.0,5.0,Muy injusta,,Limpias,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,7.0,Baja,Algo suficiente,Mestizo/a,6.0,Independiente/cuenta propia
222.0,Mujer,23.0,Bastante satisfecho/a,Progresando,Regular,Un poco mejor,Un poco mejor,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,1.0,10.0,Justa,10.0,Limpias,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Disminuyó poco,Igual,0.0,Media,Algo suficiente,Mulato/a,12.0,Tareas del hogar
222.0,Hombre,38.0,Muy satisfecho/a,Progresando,Buena,Un poco mejor,Igual,Se puede confiar en la mayoría,Prefiere democracia,Muy satisfecho/a,Muy satisfecho/a,1.0,5.0,Justa,10.0,Limpias,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Disminuyó poco,Disminuyó poco,Igual,,Baja,Algo suficiente,Otra,12.0,Independiente/cuenta propia
222.0,Mujer,40.0,Muy satisfecho/a,Progresando,Buena,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Muy satisfecho/a,1.0,10.0,Injusta,10.0,Fraudulentas,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó poco,Igual,Igual,0.0,Baja,Poco suficiente,Mestizo/a,12.0,Tareas del hogar
222.0,Mujer,50.0,Muy satisfecho/a,Progresando,Regular,Un poco mejor,Un poco mejor,Se puede confiar en la mayoría,Prefiere democracia,Muy satisfecho/a,Poco satisfecho/a,1.0,3.0,Muy injusta,2.0,Limpias,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Igual,2.0,Media alta,Muy suficiente,Blanco/a,4.0,Tareas del hogar
222.0,Mujer,64.0,Muy satisfecho/a,Progresando,Muy buena,Mucho mejor,Mucho mejor,Se puede confiar en la mayoría,Prefiere democracia,Muy satisfecho/a,Muy satisfecho/a,1.0,10.0,Justa,10.0,Limpias,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó poco,0.0,Media,Poco suficiente,Blanco/a,1.0,Independiente/cuenta propia
222.0,Hombre,25.0,Bastante satisfecho/a,Progresando,Regular,Mucho mejor,Igual,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Bastante satisfecho/a,Poco satisfecho/a,1.0,7.0,Muy justa,6.0,Limpias,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Disminuyó mucho,Igual,Disminuyó mucho,5.0,Media,Poco suficiente,Negro/a,10.0,Independiente/cuenta propia
222.0,Hombre,40.0,Bastante satisfecho/a,Progresando,Mala,Igual,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Poco satisfecho/a,1.0,,Muy injusta,,Fraudulentas,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó poco,Igual,Disminuyó poco,5.0,Media baja,Poco suficiente,Indígena,12.0,Independiente/cuenta propia
222.0,Hombre,60.0,Muy satisfecho/a,Progresando,Buena,Mucho mejor,Mucho mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Muy satisfecho/a,1.0,,Justa,10.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Perjudica,Sí,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Disminuyó mucho,Disminuyó mucho,Disminuyó mucho,0.0,Media alta,Algo suficiente,Mestizo/a,13.0,Independiente/cuenta propia
