pais,sexo,edad,satisfaccion_vida,situacion_pais,economia_actual,economia_vs12m,economia_12m_futuro,confianza_interpersonal,preferencia_democracia,satisfaccion_democracia,satisfaccion_economia,aprueba_presidente,ideologia_izq_der,justicia_distributiva,nivel_democratico_pais,elecciones_limpias,inmigrantes_ayudan_economia,inmigrantes_compiten_trabajo,inmigrantes_aumentan_crimen,mercado_unico_desarrollo,justicia_no_dura_con_delito,impacto_inmigracion_pais,existe_cambio_climatico,me_importa_medioambiente,obligacion_proteger_medioambiente,importa_impacto_otros,proteger_para_futuras_gen,dispuesto_ahorrar_electricidad,dispuesto_cambiar_alimentacion,derecho_plantas_animales,delincuencia_ult12m,drogadiccion_ult12m,corrupcion_ult12m,corrupcion_0a10,clase_social,suficiencia_ingresos,raza_etnia,educacion_anios,situacion_ocupacional
32.0,Hombre,31.0,Bastante satisfecho/a,En retroceso,Mala,Un poco peor,Un poco peor,Se puede confiar en la mayoría,Prefiere democracia,Muy satisfecho/a,Nada satisfecho/a,2.0,5.0,Muy injusta,7.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Igual,Igual,Aumentó poco,4.0,Media baja,Algo suficiente,Blanco/a,13.0,Independiente/cuenta propia
32.0,Mujer,67.0,Bastante satisfecho/a,Estancado,Mala,Igual,Un poco peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,2.0,7.0,Injusta,,Limpias,,En desacuerdo,,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,De acuerdo,Aumentó poco,,Igual,,Media,Algo suficiente,Blanco/a,17.0,Jubilado/a o pensionado/a
32.0,Mujer,52.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Se puede confiar en la mayoría,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,3.0,Muy injusta,2.0,Limpias,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Beneficia,Sí,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,Igual,Aumentó poco,Aumentó mucho,,Baja,Poco suficiente,Blanco/a,17.0,Independiente/cuenta propia
32.0,Mujer,32.0,Bastante satisfecho/a,Estancado,Muy mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Le da lo mismo,,Nada satisfecho/a,2.0,,Muy injusta,7.0,Limpias,En desacuerdo,De acuerdo,,,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Aumentó poco,Aumentó poco,,3.0,Media baja,Poco suficiente,Blanco/a,,Independiente/cuenta propia
32.0,Hombre,41.0,Poco satisfecho/a,En retroceso,Mala,Mucho peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Poco satisfecho/a,2.0,6.0,Injusta,7.0,Limpias,De acuerdo,De acuerdo,,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Aumentó poco,Aumentó poco,Igual,7.0,Media baja,Algo suficiente,Blanco/a,,Independiente/cuenta propia
32.0,Mujer,45.0,Poco satisfecho/a,Estancado,Mala,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,,Poco satisfecho/a,Nada satisfecho/a,2.0,,Injusta,6.0,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Aumentó poco,Aumentó poco,Aumentó poco,,Media baja,Algo suficiente,Blanco/a,17.0,Asalariado sector privado
32.0,Mujer,66.0,Poco satisfecho/a,En retroceso,Muy mala,Mucho peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,,,En desacuerdo,De acuerdo,En desacuerdo,,De acuerdo,Perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó poco,,,Media,Algo suficiente,Blanco/a,13.0,Jubilado/a o pensionado/a
32.0,Hombre,71.0,Bastante satisfecho/a,Estancado,Regular,Un poco peor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Poco satisfecho/a,2.0,7.0,Injusta,7.0,Limpias,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,,De acuerdo,Aumentó poco,Aumentó poco,Igual,7.0,Media baja,Algo suficiente,Blanco/a,13.0,Jubilado/a o pensionado/a
32.0,Hombre,25.0,Bastante satisfecho/a,Estancado,Muy mala,Igual,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Poco satisfecho/a,1.0,7.0,Injusta,,Limpias,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Igual,Aumentó poco,Disminuyó mucho,,Baja,Nada suficiente,Blanco/a,12.0,Independiente/cuenta propia
32.0,Mujer,26.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Se puede confiar en la mayoría,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,3.0,Injusta,5.0,Limpias,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media baja,Poco suficiente,Blanco/a,13.0,Independiente/cuenta propia
32.0,Mujer,62.0,Muy satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Se puede confiar en la mayoría,Prefiere democracia,Poco satisfecho/a,Nada satisfecho/a,2.0,2.0,Muy injusta,7.0,Limpias,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Igual,6.0,Media,Algo suficiente,Blanco/a,15.0,Jubilado/a o pensionado/a
32.0,Mujer,30.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,2.0,Muy injusta,10.0,Limpias,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Beneficia,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,5.0,Media baja,Algo suficiente,Mestizo/a,14.0,Asalariado sector privado
32.0,Hombre,47.0,Muy satisfecho/a,En retroceso,Muy mala,Un poco peor,Un poco peor,Se puede confiar en la mayoría,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,1.0,Muy injusta,2.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,,En desacuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Aumentó mucho,Aumentó mucho,10.0,Media,Poco suficiente,,15.0,Asalariado sector público
