codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio
TQRMNOQTQHMNKQCDEGJBF00880488,1,1,71,1,1.0,1,3,1,950000.0,316666.67,599.0,701.0,0,,,,,,,0,0,2025
TQRMNOQTQHMNKQCDEGJBF00880488,1,2,68,1,1.0,1,3,4,950000.0,316666.67,599.0,701.0,0,,,,,,,0,0,2025
TQRMNOQTQHMNKQCDEGJBF00880488,1,1,48,5,4.0,2,3,6,950000.0,316666.67,599.0,701.0,0,,,,,,,0,0,2025
TQRMNOSPQHMNKQCDEGJBF00880489,1,2,68,4,1.0,1,3,1,500000.0,500000.0,642.0,650.0,0,,,,,,,0,0,2025
TQRMNOQPWHLMKUCDEIOAH00880162,1,2,10,5,1.0,1,3,3,1470000.0,367500.0,157.0,224.0,0,,,,,,,0,0,2025
TQRMNOQWWHKMKOCDEFIAH00862813,1,2,50,4,1.0,5,3,1,400000.0,200000.0,568.0,666.0,0,,,,,,,0,0,2025
TQRMNOQWWHKMKOCDEFIAH00862813,1,1,20,5,4.0,5,3,3,400000.0,200000.0,568.0,666.0,0,,,,,,,0,0,2025
TQRMNOTPRHJMLNCDEIOAH00874261,1,1,48,2,1.0,4,1,0,0.0,0.0,328.0,,3,0.0,60.0,0.0,2.0,,,0,0,2025
TQRMNOQPWHLMKUCDEIOAH00880162,1,1,46,2,1.0,5,1,0,1470000.0,367500.0,157.0,224.0,3,0.0,45.0,0.0,2.0,8.0,,0,0,2025
TQRMNOQPWHLMKUCDEIOAH00880162,1,2,42,2,1.0,6,3,4,1470000.0,367500.0,157.0,224.0,0,,,,,,,0,0,2025
TQRMNOQPWHLMKUCDEIOAH00880162,1,1,13,5,1.0,3,3,3,1470000.0,367500.0,157.0,224.0,0,,,,,,,0,0,2025
TQRMNOPRYHLLKTCDEIGED00854560,1,1,3,5,2.0,7,4,5,4450000.0,1483333.33,153.0,165.0,0,,,,,,,0,0,2025
TQRMNOPVSHKNKRCDEIGED00865857,1,2,95,4,1.0,1,3,1,1570000.0,785000.0,146.0,185.0,0,,,,,,,0,0,2025
TQRMNOPVSHKNKRCDEIGED00865857,1,1,64,4,1.0,3,1,0,1570000.0,785000.0,146.0,185.0,2,0.0,15.0,0.0,2.0,1.0,,0,0,2025
TQRMNOTVXHKLLLCDEFKID00857986,1,1,38,5,1.0,6,1,0,1000000.0,1000000.0,1677.0,1837.0,3,0.0,40.0,0.0,2.0,6.0,,0,0,2025
TQRMNORTYHMNKMCDEFKID00880305,1,1,52,1,1.0,6,1,0,0.0,0.0,721.0,,2,0.0,84.0,0.0,2.0,1.0,,0,0,2025
TQRMNORTYHMNKMCDEFKID00880305,1,2,47,1,1.0,6,1,0,0.0,0.0,721.0,,3,0.0,12.0,0.0,1.0,8.0,,0,0,2025
TQRMNORTQHJKKSCDEFKID00876774,1,2,30,5,2.0,6,1,0,2300000.0,2300000.0,879.0,1272.0,3,0.0,40.0,0.0,1.0,10.0,,0,0,2025
TQRMNOPTXHLLKRCDEGKDB00853053,1,2,30,2,1.0,4,2,0,700000.0,233333.33,159.0,141.0,3,,,,,,2.0,0,0,2025
TQRMNOPTXHLLKRCDEGKDB00853053,1,2,5,5,1.0,7,4,5,700000.0,233333.33,159.0,141.0,0,,,,,,,0,0,2025
TQRMNOQRUHJLKTCDEGKDB00880344,1,1,72,2,1.0,5,3,1,1720000.0,860000.0,148.0,231.0,0,,,,,,,0,0,2025
TQRMNOQRUHJLKTCDEGKDB00880344,1,2,72,2,1.0,4,3,1,1720000.0,860000.0,148.0,231.0,0,,,,,,,0,0,2025
TQRMNOUWRHJKKMCDEFJAH00876618,1,1,21,5,1.0,5,3,3,0.0,0.0,703.0,,0,,,,,,,0,0,2025
TQRMNOPTSHJMKRCDEGKDB00876155,1,1,49,2,1.0,6,1,0,2300000.0,1150000.0,119.0,230.0,3,0.0,35.0,0.0,1.0,9.0,,0,0,2025
TQRMNOPTSHJMKRCDEGKDB00876155,1,2,47,2,1.0,4,1,0,2300000.0,1150000.0,119.0,230.0,3,2.0,12.0,8.0,1.0,9.0,,0,0,2025
TQRMNOPTXHLLKRCDEGKDB00853053,1,1,33,2,1.0,5,1,0,700000.0,233333.33,159.0,141.0,3,0.0,40.0,0.0,2.0,7.0,,0,0,2025
TQRMNOSTUHMMKNCDEIGED00880383,1,2,37,1,1.0,4,1,0,3830000.0,957500.0,182.0,210.0,3,0.0,106.0,0.0,1.0,11.0,,0,0,2025
TQRMNOSTUHMMKNCDEIGED00880383,1,1,16,5,1.0,3,3,3,3830000.0,957500.0,182.0,210.0,0,,,,,,,0,0,2025
TQRMNOSTUHMMKNCDEIGED00880383,1,1,12,5,1.0,3,3,3,3830000.0,957500.0,182.0,210.0,0,,,,,,,0,0,2025
TQRMNOSQXHKNKMCDEIGED00857241,1,1,59,2,1.0,2,3,1,800000.0,266666.67,139.0,155.0,0,,,,,,,0,0,2025
TQRMNOSQXHKNKMCDEIGED00857241,1,2,59,2,1.0,1,3,4,800000.0,266666.67,139.0,155.0,0,,,,,,,0,0,2025
TQRMNOSQXHKNKMCDEIGED00857241,1,2,20,5,4.0,5,3,3,800000.0,266666.67,139.0,155.0,0,,,,,,,0,0,2025
TQTMNOPTXHKMKNCDEIGED00858257,1,2,31,5,4.0,3,2,0,205000.0,68333.33,151.0,134.0,3,,,,,,5.0,0,0,2025
TQTMNOPTXHKMKNCDEIGED00858257,1,1,12,5,4.0,3,3,3,205000.0,68333.33,151.0,134.0,0,,,,,,,0,0,2025
TQTMNOPTXHKMKNCDEIGED00858257,1,2,10,5,4.0,1,3,3,205000.0,68333.33,151.0,134.0,0,,,,,,,0,0,2025
TQRMNOQTWHMMKQCDEIGED00880384,1,1,28,1,1.0,4,1,0,1239000.0,413000.0,136.0,147.0,3,0.0,27.0,0.0,2.0,7.0,,0,0,2025
TQRMNOQTWHMMKQCDEIGED00880384,1,2,23,1,1.0,5,3,3,1239000.0,413000.0,136.0,147.0,0,,,,,,,0,0,2025
TQRMNOQTWHMMKQCDEIGED00880384,1,2,0,5,1.0,7,4,5,1239000.0,413000.0,136.0,147.0,0,,,,,,,0,0,2025
