codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
130325,1.0,2.0,29.0,1.0,1.0,4.0,3.0,4.0,290.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
130325,1.0,1.0,33.0,1.0,1.0,4.0,1.0,0.0,290.0,348.0,3.0,2.0,48.0,24.0,1.0,11.0,0.0,0,0,2005,,
130325,1.0,2.0,1.0,5.0,1.0,7.0,4.0,5.0,290.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
130794,1.0,2.0,78.0,4.0,12.0,4.0,3.0,1.0,400.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131047,1.0,2.0,68.0,3.0,4.0,2.0,3.0,7.0,125.71428571428572,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131047,1.0,1.0,32.0,1.0,4.0,4.0,1.0,0.0,125.71428571428572,308.0,3.0,0.0,48.0,0.0,2.0,4.0,0.0,0,0,2005,,
131047,1.0,2.0,33.0,1.0,4.0,3.0,2.0,0.0,125.71428571428572,308.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,2005,,
131047,1.0,1.0,11.0,5.0,4.0,1.0,3.0,3.0,125.71428571428572,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131047,1.0,2.0,12.0,5.0,4.0,1.0,3.0,3.0,125.71428571428572,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131047,1.0,2.0,12.0,5.0,4.0,1.0,3.0,3.0,125.71428571428572,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131047,1.0,2.0,88.0,4.0,1.0,2.0,3.0,1.0,125.71428571428572,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131398,1.0,1.0,47.0,2.0,1.0,4.0,1.0,0.0,750.0,366.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0,2005,,
