codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNOSTRHJMLRCDEFKID00875910,1,2,2,5,1.0,7,4,5,0.0,0.0,656.0,,0,,,,,,,0,0
TQRMNORXVHLOLLCDEFKID00851755,1,1,75,2,12.0,6,3,1,1835900.0,917950.0,947.0,1124.0,0,,,,,,,0,0
TQRMNORXVHLOLLCDEFKID00851755,1,2,76,2,12.0,5,3,1,1835900.0,917950.0,947.0,1124.0,0,,,,,,,0,0
TQRMNORWTHLOLNCDEFKID00851889,1,1,61,4,1.0,4,1,0,0.0,0.0,729.0,,2,0.0,30.0,0.0,2.0,1.0,,0,0
TQRMNORXYHJMLQCDEIMBF00877773,1,2,4,5,1.0,7,4,5,800000.0,266666.67,176.0,223.0,0,,,,,,,0,0
TQRMNORXYHJMLQCDEIMBF00877773,1,2,33,2,1.0,6,3,4,800000.0,266666.67,176.0,223.0,0,,,,,,,0,0
TQRMNORXYHJMLQCDEIMBF00877773,1,1,35,2,1.0,3,1,0,800000.0,266666.67,176.0,223.0,1,0.0,72.0,0.0,2.0,2.0,,0,0
TQRMNOTSTHLMLPCDEIMBF00855878,2,1,34,1,4.0,4,1,0,1018000.0,203600.0,221.0,358.0,2,0.0,48.0,0.0,2.0,1.0,,0,0
TQRMNOTSTHLMLPCDEIMBF00855878,2,2,33,1,4.0,3,3,4,1018000.0,203600.0,221.0,358.0,0,,,,,,,0,0
TQRMNOTSTHLMLPCDEIMBF00855878,2,1,16,5,4.0,3,3,3,1018000.0,203600.0,221.0,358.0,0,,,,,,,0,0
TQRMNOTSTHLMLPCDEIMBF00855878,2,1,14,5,4.0,3,3,3,1018000.0,203600.0,221.0,358.0,0,,,,,,,0,0
